ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Description,Data_Contributor_ID,Survey_Contributor_ID,Survey_Title,Source,Ethnologue_Name,Glossed_Text_PDF,Glossed_Text_Audio,Metadata,Region,Default_Lect_ID,Lexifier
1,Early Sranan,,5.833333,-55.6,sran1240,,"Over the years multiple historical documents in and on the English-base creole language of Suriname known as Sranan or Sranantongo have been uncovered, resulting in a substantial digitized corpus of eighteenth-century texts. These texts, stored in the Suriname Creole Archive at the Radboud University, Nijmegen, provide a unique window on the Sranan language as it was spoken in the eighteenth century, that is, at earlier stages of its development. In several historical sources phonological, grammatical, semantic, and pragmatic differences between varieties of the creole language are acknowledged, and some varieties appear to have been so different that they are known under distinct names. For example, in Schumann’s Sranan–German dictionary of 1783, we find references to Plantasi tongo (Plantation language), Foto tongo (City language), Ningre tongo (Black’s language) as well as English tongo (English language). Early Sranan is used as cover term for these 18th century creole varieties. Detailed comparisons of the historical creole data with their equivalents in contemporary varieties of Sranantongo and the Surinamese Maroon languages have further refined our understanding of language variation and language change in Early Sranan.  The default lect documented in <span style=""font-style: italic;"">APiCS</span> is the variety of Early Sranan that was used for interethnic out-group communication. When available, examples of diachronic, social, stylistic and geographical variation are included.",vandenbergmargotc bruynadrienne,vandenbergmargotc smithnorvalsh,"Early Sranan. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1044;11;1218;1219;1355;1357;1422;1437;1519;1520;1521;1522;1527;1576;181;183;185;186;187;188;190;191;192;193;194;310;313;314;449;524;53;54;55;56;625;1876[survey],,a9e3060ff8c20a905525e265c7c565b2,,"{""Autoglossonym"": ""Ningri tongo (18th century)"", ""Other names"": ""Bastert Engels, Neeger Engels (18th c. Dutch; obsolete, pejorative)"", ""Number of speakers"": ""ca. 55,000 \u00a0in 1783 (L1 as well as L2)"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""European (Dutch, Portuguese, etc.); West African (Kwa, Kikongo, etc.); Amerindian (Arawakan; Cariban)"", ""Location"": ""Suriname"", ""Official language of 18th-century Suriname"": ""Dutch""}",Caribbean,,English
10,San Andres Creole English,,13.35,-81.366669,sana1297,icr,"San Andres Creole English is spoken in the archipelago of San Andres, Providencia and Santa Catalina, Colombia, by no more but possibly considerably fewer than 20,000 speakers. The language is also spoken by diaspora communities located, most importantly, in mainland Colombia and, in second place, on the Central American Caribbean Coast, especially in Panama, and in the United States. The numbers of speakers and the extent to which the language is maintained in the diaspora is not known.

The two main varieties of the language are San Andres Creole proper (or Saintandrewan, as language activists call it) and Providence Creole English. At first sight, the distinguishing criterion appears to be geographical. However, we are dealing with structurally distinct varieties, and I believe that sociolectal variation in terms of a hypothetical creole continuum constitutes an even more important criterion: Providence Creole English is clearly a more acrolectal variety of Western Caribbean Creole English than San Andres Creole English. Unless otherwise specified, basilectal San Andres Creole English, i.e., the creole of the island of San Andres, constitutes the <span style=""font-weight: bold;"">default lect</span> described here. Occasionally, reference is being made to Providence Creole English and a written lect ocurring in the very few teaching materials devised for San Andres Creole English.

San Andres Creole English constitutes a minority as well as a minorized language on the island. Over the past fifteen years, the little presence it had in the media has faded away and efforts by the Colombian Ministry of Education to start a nation-wide move towards bilingual education in Spanish and (Standard) English in San Andres and Providence further jeopardizes the timid pro-creole action taken since the 1980s and especially during the 1990s. Providence Creole English speakers never really embraced the idea of their creole being an autonomous variety, let alone a distinct language. I consider both San Andres and Providence Creole English to be more or less highly endangered.",bartensangela,bartensangela,"San Andres Creole English. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",113;1224;1581;1601;243;416;726;727;984;1912[survey],Islander Creole English,3081dc1f5d3643cc21913e3d96342fcb,,"{""Autoglossonym"": ""Saintandrewan"", ""Other names"": ""San Andres Creole English , Islander Creole English, Bende 1"", ""Number of speakers"": ""20,000\u201330,000? 2"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Western Kwa languages, especially Twi-Fante"", ""Location"": ""San Andres, Providence, and diaspora communities in continental Colombia, the Central American Caribbean Coast, especially Panama, and the United States"", ""Official languages of the Colombian Department of San Andres, Providence and Santa Catalina"": ""Spanish and English""}",Caribbean,,English
1021,Sranan (Dutch-influenced),,5.833333,-55,,,,,,,1604;1609,,,,{},,2,English
1071,Vincentian Creole (Mesolectal variety),,13.133333,-61.216667,,,,,,,,,,,{},,7,English
1081,Jamaican (Jamaican Mesolect),,18,-77.5,,,,,,,,,,,{},,8,English
11,Nicaraguan Creole English,,12,-83.75,nica1251,bzk,"Nicaraguan Creole English (or Miskito Coast Creole English) is spoken as a first language by several groups of people: ethnic Creoles, the Rama, Nicaraguan Garifuna, and some Miskitos, and as a second language by other Miskitos and some Mestizos. It is mainly spoken (nowadays as a minority language) in the two Nicaraguan Autonomous Regions of the Atlantic Coast but also elsewhere in Nicaragua, the United States, and other small diaspora communities. Estimates of speaker numbers vary between 35,000 and 50,000.

Nicaraguan Creole English can be considered one of the oldest English-based varieties in the Americas. Belizean Creole constitutes a direct off-shoot of Nicaraguan Creole English which, on the other hand, has undergone influence from several other Western Caribbean Creoles, obscuring the genetic relationships of the creoles of the region in question.

Speakers themselves identify at least the variants of Bluefields, the Corn Islands, Pearl Lagoon, Rama Cay, Orinoco, and Bilwi. It is commonly felt that the urban variety of Bluefields should constitute the basis for standardization. On the other hand, Spanish is much more present in Bluefields than in rural communities. Over recent years, there have been signs that the Spanish–Creole English diglossia has started to leak. Nevertheless, it has been postulated that there continue to exist separate Anglo, ""costeño"" (coastal) and Black identities within the Creole population and those most closely identifying with the Anglo identity are unlikely to be in favor of bilingual Creole-Spanish programs any more than they were in the 1980s. Indeed, Standard English is valued not only as an international language but also as the foundation of that particular facet of Creole identity as a cross of a class and an ethnic position. 

The <span style=""font-weight: bold;"">default lect </span>in <span style=""font-style: italic;"">APiCS</span> is constituted by data gathered in Bluefields and surrounding locations in 2006-2007. It appears quite clear that Nicaraguan Creole English constitutes a genuine instance of decreolization when compared to materials collected in the early 1970s.

Unless otherwise specified, all examples  in <span style=""font-style: italic;"">APiCS</span>  were recorded in Nicaragua in 2006-2007 (see Nicaragua project recordings CD).",bartensangela,bartensangela,"Nicaraguan Creole English. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1054;113;115;116;1184;636;638;1903[survey],Nicaragua Creole English,4a8d010ca97f673e3e448a8e380f12b4,09609ad2f0e0b6a36c5b33bfb571eba3,"{""Autoglossonym"": ""Creole"", ""Other name"": ""Miskito Coast Creole English"", ""Number of speakers"": ""35,000\u201350,000 first-language speakers"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Western Kwa languages, especially Twi-Fante"", ""Location"": ""Autonomous Regions of the Nicaraguan Caribbean Coast; diaspora communities in Nicaragua (Managua) and the United States"", ""Official language of Nicaragua"": ""Spanish""}",Caribbean,,English
1161,Ghanaian Pidgin English (Student Pidgin),,5.558582,-0.20874,,,,,,,656,,,,{},,16,English
1162,Ghanaian Pidgin English (Acrolectal Ghanaian Pidgin English),,5.558582,-0.20874,,,,,,,656,,,,{},,16,English
12,Bahamian Creole,,25.053879,-77.33963,baha1260,bah,"Bahamian Creole (locally termed “Dialect”) is spoken by about 250,000 speakers in The Commonwealth of The Bahamas and by an unknown number of speakers constituting a small diaspora community in the United States (Florida). It may be classified as an “intermediate creole” (Winford 1992: 314) with close historical links with Gullah (Hackert &amp; Huber 2007). The variety described in <span style=""font-style: italic;"">APiCS</span> (default lect) is urban Bahamian Creole as currently spoken in the capital, Nassau. Even though Bahamians themselves often claim that “Nassau people don’t speak the Dialect,” this variety must be considered most representative of the creole at large, as roughly two thirds of all Bahamians now reside in Nassau. The data were recorded by myself in sociolinguistic interviews with mostly working-class speakers in the late 1990s. I also elicited a number of examples from five highly educated bidialectal speakers with the help of Dahl’s tense-mood-aspect questionnaire (1985). Finally, I drew on Holm &amp; Shilling (1982).",hackertstephanie,hackertstephanie,"Bahamian Creole. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1224;1268;1392;1581;1601;1607;316;405;554;587;634;726;727;729;984;1862[survey],Bahamas Creole English,1ef51a42c91d0ec24f22a82c78f9b032,d863a469ceb3a64051ef8df649033f36,"{""Autoglossonyms"": ""(Bahamian) Dialect, Bahamianese"", ""Number of speakers"": ""ca. 250,000"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""unknown"", ""Location"": ""Bahamas and diaspora communities in the United States (Florida)"", ""Official language of The Commonwealth of The Bahamas"": ""English"", ""Other languages spoken"": ""Haitian Creole""}",North America,,English
1201,Chinese Pidgin English (European),,23.079733,113.334961,,,,,,,1310;1481;1483;1650;350;389;613;838;99,,,,{},,20,English
