ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Audio
1-1,1,Isredeh mi kau bringi wan mannpikin.,Isrede\tmi\tkau\tbringi\twan\tmanpikin.,yesterday\t1SG\tcow\tdeliver\ta\tmale.young,Yesterday my cow delivered a bull calf.,,,
1-2,1,Da mastra tikki mi wyfi na nitti lange trange hay.,Da\tmasra\tteki\tmi\twefi\tna\tneti\tnanga\ttranga\tai.,DET.SG\tmaster\ttake\t1SG\twife\tin\tnight\twith\tstrong\teye,The master took my wife during the night with force.,,,
2-1,2,A mama fon a pikin.,A\tmama\tfon\ta\tpikin.,DET\tmother\tbeat\tDET\tchild,The mother beat the child.,,,
2-2,2,A boi lobi a umapikin.,A\tboi\tlobi\ta\tumapikin.,DET\tboy\tlove\tDET\tgirl,The boy loves the girl.,,,
3-1,3,A téi dí páu páá.,A\ttéi\tdí\tpáu\tpáá.,3SG\ttake\tDEF.SG\tstick\tquick,He took the stick quickly.,,,
3-32,3,Wojo u mi á sa kai ku di faja.,Wojo\tu\tmi\tá\tsa\tkai\tku\tdi\tfaja.,eye\tfor\t1SG\tNEG\tM\tfall\twith\tDEF.SG\tfire,My eye can't stand the light.,,,
3-69,3,Di mujɛɛ naki di womi.,Di\tmujɛɛ\tnaki\tdi\twomi.,DEF.SG\twoman\thit\tDEF.SG\tman,The woman hit the man.,,,
4-1,4,Den pikinnenge e lobi switi sii.,Den\tpikinnenge\te\tlobi\tswiti\tsii.,DET.PL\tchild\tIPFV\tlove/like\tsweet\tseeds,The children like sweets.,,,
5-1,5,kooknot bring ail,kooknot\tbring\tail,coconut\tbring.forth\toil,Coconuts produce oil. OR: The coconut produces oil.,,,
6-1,6,Shi buy a nju cyar.,Shi\tbuy\ta\tnju\tcyar.,3SG\tbuy\tDET\tnew\tcar,She bought a new car.,,,
6-54,6,Sita eat di mango.,Sita\teat\tdi\tmango.,Sita\teat\tDET\tmango,Sita ate the mango.,,,
6-55,6,Di child want food.,Di\tchild\twant\tfood.,DET\tchild\twant\tfood,The child wants food.,,,
7-1,7,Mi si di man.,Mi\tsi\tdi\tman.,1SG\tsee\tART\tman,I see the man. OR: I saw the man.,,,
7-22,7,Meiri duhz aaltaim kis Jan.,Meiri\tduhz\taal-taim\tkis\tJan.,Mary\tHAB\tall-time\tkiss\tJohn,Mary often kisses John. OR: Mary always kisses John.,,,
7-61,7,Di hedtiicha duhz giv dem lesnz.,Di\thed-tiicha\tduhz\tgiv\tdem\tlesn-z.,ART\thead-teacher\tHAB\tgive\t3PL\tlesson-PL,The headteacher gives them lessons.,,,
8-1,8,Kien kil Iebl.,Kien\tkil\tIebl.,Cain\tkill\tAbel,Cain killed Abel.,,,
9-1,9,Jimi fayn di kru.,Jimi\tfayn\tdi\tkru.,Jimmy\tfind\tART\tcrew,Jimmy hired the crew.,,,
10-1,10,Beda Ginihen tek wan rod.,Beda\tGinihen\ttek\twan\trod.,Brother\tGuineahen\ttake\tART.INDF\trod,Brother Guineahen took a rod.,,,
11-1,11,An horikien mash dat dong.,An\thorikien\tmash\tdat\tdong.,and\thurricane\tmash\tDEM\tdown,And the hurricane destroyed it.,,,
11-8,11,Dis hat man waahn aal di gyal dem.,Dis\that\tman\twaahn\taal\tdi\tgyal\tdem.,DEM\thot\tman\twant\tall\tART.DEF\tgirl\tPL,This hot man wanted all the girls.,,,
12-1,12,And the mother count the fig - on the tree.,And	the	mother	count	the	fig	-	on	the	tree.,and	the	mother	count[PFV]	the	fig[PL]	 	on	the	tree,And the mother counted the figs on the tree.,,,
13-1,13,Calvary couldn hol de people.,Calvary\tcouldn\thol\tde\tpeople.,Calvary\tcan.PST-NEG\thold\tthe\tpeople,Calvary couldn't hold the people.,,,
14-1,14,She told him.,She\ttold\thim.,she\ttell.PST\thim,She told him.,,,
14-2,14,Bruce like cheese.,Bruce\tlike-Ø\tcheese.,Bruce\tlike-Ø\tcheese,Bruce likes cheese.,,,
14-7,14,The kid got asthma.,The\tkid\thas\tasthma,ART\tkid\thas\tasthma,The kid has asthma.,,,
15-1,15,di bɔbɔ lɛk di titi,di\tbɔbɔ\tlɛk\tdi\ttiti,ART\tboy\tlike\tART\tgirl,The boy likes the girl.,,,
16-1,16,polismã ì bi laik wumã,polismã\tì\tbi\tlaik\twumã,policeman\t3SG\tCOP\tlike\twoman,Policemen are like women.,,,
16-179,16,"gɔd gò kil jù, gɔd gò paniʃ jù.","gɔd\tgò\tkil\tjù,\tgɔd\tgò\tpaniʃ\tjù.",God\tFUT\tkill\t2SG\tGod\tFUT\tpunish\t2SG,"God will kill you, God will punish you.",,,
17-1,17,À plant nyam.,À\tplant\tnyam.,1SG.SBJ\tplant\tyam,I planted yams.,,,
17-96,17,Chidi (ìm) gò kawnt nyam.,Chidi\t(ìm)\tgò\tkawnt\tnyam.,Chidi\t(3SG.SBJ)\tIRR\tcount\tyam,Chidi will count yams.,,,
18-1,18,A don tchop bif.,A\tdon\ttchop\tbif.,1SG.SBJ\tPFV\teat\tmeat,I have eaten meat.,,,
18-39,18,So troki i wuman put ol haf haf botul-dem an ston fo autsayd.,So\ttroki\ti\twuman\tput\tol\thaf~haf\tbotul-dem\tan\tston\tfo\tautsaid.,so\tturtle\t3SG.POSS\twife\tput\tall\thalf~half\tbottle-PL\tand\tstone\tfor\toutside,So the wife of the turtle put all broken bottles and stones outside (lit. So the wife of the turtle put all pieces of bottles and stones outside).,,,
18-75,18,Ndikum no fit draif moto.,Ndikum\tno\tfit\tdraif\tmoto.,Ndikum\tNEG\tbe.able\tdrive\tcar,Ndikum cannot drive a car.,,,
19-1,19,Dì gal dè kuk plàntí.,Dì\tgal\tdè\tkuk\tplàntí.,DEF\tgirl\tIPFV\tcook\tplantain,The girl is cooking plantain.,,,
20-1,20,I wantchee one piecee woolen.,I\twantchee\tone\tpiecee\twoolen.,1SG\twant\tART.INDF\tCLF\twoollen,I want a piece of woollen.,,,
20-69,20,Coolie hap give letter he.,Coolie\thap\tgive\tletter\the.,coolie\tPFV\tgive\tletter\t3SG,The coolie has given the letter to him.,,,
21-1,21,I want some fish.,I\twant\tsome\tfish.,I\twant\tsome\tfish,I want some fish.,,,
21-2,21,Fish I wan.,Fish\tI\twan.,fish\t1SG\twant,I want (some) fish.,,,
21-10,21,So your grandfather had three wives something like that ah?,So\tyour\tgrandfather\thad\tthree\twives\tsomething\tlike\tthat\tah?,so\t2SG.POSS\tgrandfather\thave.PST\tthree\twives\tsomething\tlike\tthat\tPCL,So your grandfather had three wives or something like that?,,,
21-37,21,But the boss saw the interview.,But\tthe\tboss\tsaw\tthe\tinterview.,CONJ\tDET\tboss\tsee.PST\tDET\tinterview,But the boss saw the interview.,,,
22-1,22,Yumi gat ol liklik dok.,Yumi\tgat\tol\tliklik\tdok.,1PL.INCL\thave\tPL\tsmall\tdog,We have little dogs.,,,
22-3,22,Em bai inap wokim haus.,Em\tbai\tinap\twokim\thaus.,3SG\tFUT\tABIL\tmake\thouse,He'll be able to build a house.,,,
22-4,22,Tupela pikinini blongen go kisim lip banana.,Tu-pela\tpikinini\tblong-en\tgo\tkisim\tlip\tbanana.,two-MOD\tchild\tPOSS-3SG\tgo\tget\tleaf\tbanana,His two children went to fetch banana leaves.,,,
23-1,23,Gavman blong Canada i kivim mane tu blong wan kompiuta blong Nasonal Akaev blong Vanuatu.,Gavman\tblong\tCanada\ti\tkivim\tmane\ttu\tblong\twan\tkompiuta\tblong\tNasonal\tAkaev\tblong\tVanuatu.,government\tPREP\tCanada\tAGR\tgive:TR\tmoney\ttoo\tCOMP\tINDF.ART\tcomputer\tPREP\tnational\tarchive\tPREP\tVanuatu,The Canadian Government has also given money for a computer for the National Archives of Vanuatu.,,,
24-1,24,Wi kech plente aabuuka.,Wi\tkech\tplente\taabuuka.,1PL\tcatch\tmuch\tgroper,We caught lots of groper (fish sp.).,,,
24-2,24,Mum gwen florg et.,Mum\tgwen\tflorg\tet.,mother\tFUT\tbeat\tme/you/him/her/it/us/you/them,Mother will beat me.,,,
