ID,Parameter_ID,Name,Description,Number,icon,color,abbr
0-1,0,English-based,,1,pie-100-0000FF.png,0000FF,English-based
0-7,0,Dutch-based,,2,pie-100-ADD8E6.png,ADD8E6,Dutch-based
0-3,0,Portuguese-based,,3,pie-100-FFFF00.png,FFFF00,Portuguese-based
0-4,0,Spanish-based,,4,pie-100-FF7F00.png,FF7F00,Spanish-based
0-2,0,French-based,,5,pie-100-FF0000.png,FF0000,French-based
0-5,0,Arabic-based,,6,pie-100-800080.png,800080,Arabic-based
0-6,0,Bantu-based,,7,pie-100-000000.png,000000,Bantu-based
0-8,0,Malay-based,,8,pie-100-FFB6C1.png,FFB6C1,Malay-based
0-9,0,Other-based,,9,pie-100-808080.png,808080,Other-based
1-2,1,Subject-verb-object (SVO),,1,pie-100-FF0000.png,FF0000,Subject-verb-object (SVO)
1-1,1,Subject-object-verb (SOV),,2,pie-100-0000FF.png,0000FF,Subject-object-verb (SOV)
1-3,1,Verb-subject-object (VSO),,3,pie-100-FFFF00.png,FFFF00,Verb-subject-object (VSO)
1-4,1,Verb-object-subject (VOS),,4,pie-100-964B00.png,964B00,Verb-object-subject (VOS)
1-6,1,Object-subject-verb (OSV),,5,pie-100-ADD8E6.png,ADD8E6,Object-subject-verb (OSV)
1-5,1,Object-verb-subject (OVS),,6,pie-100-800080.png,800080,Object-verb-subject (OVS)
2-1,2,Possessor-possessum,,1,pie-100-0000FF.png,0000FF,Possessor-possessum
2-2,2,Possessum-possessor,,2,pie-100-FF0000.png,FF0000,Possessum-possessor
3-1,3,Modifying adjective precedes noun,,1,pie-100-FFFF00.png,FFFF00,Modifying adjective precedes noun
3-2,3,Modifying adjective follows noun,,2,pie-100-800080.png,800080,Modifying adjective follows noun
4-2,4,Prepositions,,1,pie-100-FF0000.png,FF0000,Prepositions
4-1,4,Postpositions,,2,pie-100-0000FF.png,0000FF,Postpositions
4-5,4,Circumpositions,,3,pie-100-FFFF00.png,FFFF00,Circumpositions
5-1,5,Demonstrative word precedes noun,,1,pie-100-FFFF00.png,FFFF00,Demonstrative word precedes noun
5-2,5,Demonstrative word follows noun,,2,pie-100-800080.png,800080,Demonstrative word follows noun
5-5,5,Demonstrative simultaneously before and after noun,,3,pie-100-ADD8E6.png,ADD8E6,Demonstrative before and after noun
6-1,6,Numeral precedes noun,,1,pie-100-FFFF00.png,FFFF00,Numeral precedes noun
6-2,6,Numeral follows noun,,2,pie-100-800080.png,800080,Numeral follows noun
7-1,7,Relative clause follows noun,,1,pie-100-FF0000.png,FF0000,Relative clause follows noun
7-2,7,Relative clause precedes noun,,2,pie-100-0000FF.png,0000FF,Relative clause precedes noun
7-3,7,Internally-headed relative clause,,3,pie-100-FFFF00.png,FFFF00,Internally-headed relative clause
7-4,7,Correlative relative clause,,4,pie-100-ADD8E6.png,ADD8E6,Correlative relative clause
7-5,7,Adjoined relative clause,,5,pie-100-FFFFFF.png,FFFFFF,Adjoined relative clause
8-1,8,Degree word precedes adjective,,1,pie-100-FFFF00.png,FFFF00,Degree word precedes adjective
8-2,8,Degree word follows adjective,,2,pie-100-800080.png,800080,Degree word follows adjective
8-3,8,Degree word precedes and follows adjective,,3,pie-100-ADD8E6.png,ADD8E6,Degree word precedes and follows adjective
9-1,9,Definite article is preposed,,1,pie-100-FFFF00.png,FFFF00,Definite article is preposed
9-2,9,Definite article is postposed,,2,pie-100-800080.png,800080,Definite article is postposed
9-3,9,Definite article is circumposed,,3,pie-100-ADD8E6.png,ADD8E6,Definite article is circumposed
9-4,9,The language has no definite article,,4,pie-100-FFFFFF.png,FFFFFF,The language has no definite article
10-1,10,Indefinite article is preposed,,1,pie-100-FFFF00.png,FFFF00,Indefinite article is preposed
10-2,10,Indefinite article is postposed,,2,pie-100-800080.png,800080,Indefinite article is postposed
10-4,10,The language has no indefinite article,,3,pie-100-FFFFFF.png,FFFFFF,No indefinite article
11-1,11,Verb – adverb – object,,1,pie-100-800080.png,800080,Verb – adverb – object
11-2,11,Adverb – verb – object,,2,pie-100-FF0000.png,FF0000,Adverb – verb – object
11-3,11,Verb – object – adverb,,3,pie-100-FFFF00.png,FFFF00,Verb – object – adverb
11-4,11,Object – adverb – verb,,4,pie-100-0000FF.png,0000FF,Object – adverb – verb
11-5,11,Adverb – object – verb,,5,pie-100-ADD8E6.png,ADD8E6,Adverb – object – verb
11-6,11,Object – verb – adverb,,6,pie-100-000000.png,000000,Object – verb – adverb
12-1,12,Interrogative phrase initial,,1,pie-100-FF0000.png,FF0000,Interrogative phrase initial
12-2,12,Interrogative phrase not initial,,2,pie-100-0000FF.png,0000FF,Interrogative phrase not initial
13-1,13,No gender distinctions,,1,pie-100-FFFFFF.png,FFFFFF,No gender distinctions
13-2,13,In 3rd person singular only,,2,pie-100-FF0000.png,FF0000,In 3rd person singular only
13-4,13,In 3rd person singular and plural only,,3,pie-100-FFFF00.png,FFFF00,In 3rd person singular and plural only
13-6,13,In 2nd person but not in 3rd person,,4,pie-100-0000FF.png,0000FF,In 2nd person but not in 3rd person
14-1,14,No special dual form,,1,pie-100-FFFFFF.png,FFFFFF,No special dual form
14-2,14,Dual form in all three persons,,2,pie-100-FF0000.png,FF0000,Dual form in all three persons
14-3,14,Dual form only in first person,,3,pie-100-FFFF00.png,FFFF00,Dual form only in first person
15-1,15,No inclusive/exclusive distinction,,1,pie-100-FFFFFF.png,FFFFFF,No inclusive/exclusive distinction
15-2,15,Inclusive and exclusive differentiated,,2,pie-100-FF0000.png,FF0000,Inclusive and exclusive differentiated
16-1,16,No person syncretism,,1,pie-100-FFFFFF.png,FFFFFF,No syncretism
16-2,16,Syncretism between 1st and 2nd person,,2,pie-100-FF0000.png,FF0000,1st/2nd person plural syncretism
16-3,16,Syncretism between 2nd and 3rd person,,3,pie-100-0000FF.png,0000FF,2nd/3rd person plural syncretism
17-1,17,No dependent person forms,,1,pie-100-FFFFFF.png,FFFFFF,No dependent person forms
17-2,17,Only dependent subject forms,,2,pie-100-FF0000.png,FF0000,Only dependent subject forms
17-3,17,Only dependent object forms,,3,pie-100-FFFF00.png,FFFF00,Only dependent object forms
17-4,17,Dependent subject and object forms,,4,pie-100-0000FF.png,0000FF,Dependent subject and object forms
18-1,18,No pronominal politeness distinction,,1,pie-100-FFFFFF.png,FFFFFF,No politeness distinction
18-2,18,Binary pronominal politeness distinction,,2,pie-100-FFFF00.png,FFFF00,Binary politeness distinction
18-3,18,Multiple pronominal politeness distinction,,3,pie-100-FF0000.png,FF0000,Multiple politeness distinction
18-5,18,Titles used as second person forms,,4,pie-100-0000FF.png,0000FF,Titles used as second person pronouns
19-1,19,All simple words,,1,pie-100-FFFFFF.png,FFFFFF,All simple words
19-2,19,One compound expression,,2,pie-100-FFFF00.png,FFFF00,One compound expression
19-3,19,Two compound expressions,,3,pie-100-FF7F00.png,FF7F00,Two compound expressions
19-4,19,Three compound expressions,,4,pie-100-FF0000.png,FF0000,Three compound expressions
19-5,19,Four compound expressions,,5,pie-100-000000.png,000000,Four compound expressions
20-1,20,Singular pronoun overtly conjoined with other conjunct,,1,pie-100-0000FF.png,0000FF,Pronoun overtly conjoined
