pk,jsondata,id,name,description,markup_description,date,version
59,,59,Sango,"Sango is the national language of the Central African Republic and co-official with French. It is certainly the vernacular (the most common language of every-day use) of Bangui, the nation’s capital, with more than half a million inhabitants. In 1994 69 per cent of pre-school children of different ethnicities spoke only Sango; among school children 10 to 16 years of age 31 per cent were similarly Sangophone. For Protestant adults, the figure was 26 per cent. Sango is probably spoken by most of Central African Republic’s indigenous population out of a total number of three to four million. The number of people not competent in Sango has probably increased in recent years as people fled social and political upheavals in neighbouring Chad and Sudan, the most recent one being the Islamist invasion and conquest in April 2013. As a vernacular, it is more important than French, which is the written language, even in popular political discourse. Sango literature is entirely religious. Though there are radio broadcasts in Sango, much of them extemporaneous translations of French texts, this must be considered a separate lect because of its extreme francification. The default lect used for this project is characteristic of young inhabitants in Bangui in the 1990s as found in tape recordings of extemporaneous speech. Another lect, which I call written, is extemporaneous speech with a
great deal of French. This lect is also used in the Sango of personal letters and in publications of religious literature.Plans three decades ago for the standardization of Sango and its implementation in the educational system came to nought very quickly. For the future, the most certain prediction is that Sango will continue to change under the influence of ‘broken French.’

Acknowledgements

The persons to whom I am indebted for having been able to study Sango from a scholarly point of view are too numerous to name in their entirety, but special note must be given to Louise (deceased) and Antoine Depeyre for their hospitality in France and Jeannine Gerbault for her various kinds of help in Bangui. Among the institutions that provided research grants are these: the United States Department of Education, the International Studies Program of the University of Toronto, the Social Sciences and Humanities Research Council of Canada, the Canada Council, the University of Toronto, and Centre national de la Recherche scientifique (CNRS) of France. The Congrégation du Saint-Esprit provided hospitality in Paris and enabled me to consult the archives of its mission in Oubangui-Chari/Central African Republic. The International Grace Brethren Missions (USA) (known as Mission Evangélique des Frères in the Central African Republic) also provided housing and a vehicle. The Ministry of Education of the Central African Republic opened its country to me to travel and conduct research, and Célestin Kanzi-Soussou and Lamine Ndocko transcribed some of the tape recordings.","Sango is the national language of the Central African Republic and co-official with French. It is certainly the vernacular (the most common language of every-day use) of Bangui, the nation’s capital, with more than half a million inhabitants. In 1994 69 per cent of pre-school children of different ethnicities spoke only Sango; among school children 10 to 16 years of age 31 per cent were similarly Sangophone. For Protestant adults, the figure was 26 per cent. Sango is probably spoken by most of Central African Republic’s indigenous population out of a total number of three to four million. The number of people not competent in Sango has probably increased in recent years as people fled social and political upheavals in neighbouring Chad and Sudan, the most recent one being the Islamist invasion and conquest in April 2013. As a vernacular, it is more important than French, which is the written language, even in popular political discourse. Sango literature is entirely religious. Though there are radio broadcasts in Sango, much of them extemporaneous translations of French texts, this must be considered a separate lect because of its extreme francification. The <span style=""font-weight: bold;"">default lect</span> used for this project is characteristic of young inhabitants in Bangui in the 1990s as found in tape recordings of extemporaneous speech. Another lect, which I call <span style=""font-weight: bold;"">written</span>, is extemporaneous speech with a
great deal of French. This lect is also used in the Sango of personal letters and in publications of religious literature.Plans three decades ago for the standardization of Sango and its implementation in the educational system came to nought very quickly. For the future, the most certain prediction is that Sango will continue to change under the influence of ‘broken French.’

<span style=""font-weight: bold;"">Acknowledgements

</span>The persons to whom I am indebted for having been able to study Sango from a scholarly point of view are too numerous to name in their entirety, but special note must be given to Louise (deceased) and Antoine Depeyre for their hospitality in France and Jeannine Gerbault for her various kinds of help in Bangui. Among the institutions that provided research grants are these: the United States Department of Education, the International Studies Program of the University of Toronto, the Social Sciences and Humanities Research Council of Canada, the Canada Council, the University of Toronto, and Centre national de la Recherche scientifique (CNRS) of France. The Congrégation du Saint-Esprit provided hospitality in Paris and enabled me to consult the archives of its mission in Oubangui-Chari/Central African Republic. The International Grace Brethren Missions (USA) (known as Mission Evangélique des Frères in the Central African Republic) also provided housing and a vehicle. The Ministry of Education of the Central African Republic opened its country to me to travel and conduct research, and Célestin Kanzi-Soussou and Lamine Ndocko transcribed some of the tape recordings.
<span style=""font-weight: bold;"">
</span>",,1
1,,1,Early Sranan,"Over the years multiple historical documents in and on the English-base creole language of Suriname known as Sranan or Sranantongo have been uncovered, resulting in a substantial digitized corpus of eighteenth-century texts. These texts, stored in the Suriname Creole Archive at the Radboud University, Nijmegen, provide a unique window on the Sranan language as it was spoken in the eighteenth century, that is, at earlier stages of its development. In several historical sources phonological, grammatical, semantic, and pragmatic differences between varieties of the creole language are acknowledged, and some varieties appear to have been so different that they are known under distinct names. For example, in Schumann’s Sranan–German dictionary of 1783, we find references to Plantasi tongo (Plantation language), Foto tongo (City language), Ningre tongo (Black’s language) as well as English tongo (English language). Early Sranan is used as cover term for these 18th century creole varieties. Detailed comparisons of the historical creole data with their equivalents in contemporary varieties of Sranantongo and the Surinamese Maroon languages have further refined our understanding of language variation and language change in Early Sranan.  The default lect documented in APiCS is the variety of Early Sranan that was used for interethnic out-group communication. When available, examples of diachronic, social, stylistic and geographical variation are included.","Over the years multiple historical documents in and on the English-base creole language of Suriname known as Sranan or Sranantongo have been uncovered, resulting in a substantial digitized corpus of eighteenth-century texts. These texts, stored in the Suriname Creole Archive at the Radboud University, Nijmegen, provide a unique window on the Sranan language as it was spoken in the eighteenth century, that is, at earlier stages of its development. In several historical sources phonological, grammatical, semantic, and pragmatic differences between varieties of the creole language are acknowledged, and some varieties appear to have been so different that they are known under distinct names. For example, in Schumann’s Sranan–German dictionary of 1783, we find references to Plantasi tongo (Plantation language), Foto tongo (City language), Ningre tongo (Black’s language) as well as English tongo (English language). Early Sranan is used as cover term for these 18th century creole varieties. Detailed comparisons of the historical creole data with their equivalents in contemporary varieties of Sranantongo and the Surinamese Maroon languages have further refined our understanding of language variation and language change in Early Sranan.  The default lect documented in <span style=""font-style: italic;"">APiCS</span> is the variety of Early Sranan that was used for interethnic out-group communication. When available, examples of diachronic, social, stylistic and geographical variation are included.",,1
2,,2,Sranan,"Sranan, also known as Sranan Tongo, Taki-Taki, and Suriname Creole English, is used as the lingua franca of Suriname, and is one of 20 languages spoken in that country, among which are six other creoles. Sranan is spoken both as a first language and a lingua franca throughout the country and in western French Guiana. It is currently the native language of about 126,000 Surinamese, and a second (or third) language for most of the rest of the population of about 400,000. It is also estimated that most of the 200,000 people of Surinamese descent who now live in the Netherlands also speak Sranan. The varieties used by speakers there as well as by Dutch-dominant Surinamese have been influenced to varying degrees by Dutch. The varieties used by groups of Asian descent as well as by Amerindians also appear to have been influenced by the respective ethnic languages, though little research has been done to investigate such influences. There is also a great deal of variation in the language according to social class and status. In general, two primary varieties can be identified. One is the more conservative variety learnt as a first language by members of the working classes in poorer neighborhoods in Paramaribo, as well as in former plantation areas such as the Para District, Coronie, etc. These speakers are for the most part Afro-Surinamese, and refer to their vernacular as “Nengre” (Black Talk). This is the default lect selected for APiCS. The other main variety of Sranan has been more heavily influenced by Dutch since it is mostly used as second language by Dutch-dominant speakers, and is referred to as Dutch-influenced.","Sranan, also known as Sranan Tongo, Taki-Taki, and Suriname Creole English, is used as the lingua franca of Suriname, and is one of 20 languages spoken in that country, among which are six other creoles. Sranan is spoken both as a first language and a lingua franca throughout the country and in western French Guiana. It is currently the native language of about 126,000 Surinamese, and a second (or third) language for most of the rest of the population of about 400,000. It is also estimated that most of the 200,000 people of Surinamese descent who now live in the Netherlands also speak Sranan. The varieties used by speakers there as well as by Dutch-dominant Surinamese have been influenced to varying degrees by Dutch. The varieties used by groups of Asian descent as well as by Amerindians also appear to have been influenced by the respective ethnic languages, though little research has been done to investigate such influences. There is also a great deal of variation in the language according to social class and status. In general, two primary varieties can be identified. One is the more conservative variety learnt as a first language by members of the working classes in poorer neighborhoods in Paramaribo, as well as in former plantation areas such as the Para District, Coronie, etc. These speakers are for the most part Afro-Surinamese, and refer to their vernacular as “Nengre” (Black Talk). This is the <span style=""font-weight: bold;"">default lect</span> selected for <span style=""font-style: italic;"">APiCS</span>. The other main variety of Sranan has been more heavily influenced by Dutch since it is mostly used as second language by Dutch-dominant speakers, and is referred to as <span style=""font-weight: bold;"">Dutch-influenced</span>.",,1
3,,3,Saramaccan,"Saramaccan is one of the maroon creole languages of Surinam. It is spoken by the Saramaccan and Matawai tribes. The sociolinguistic situation of Saramaccan at the present is unclear, as a significant part of the population has moved away from the original maroon settlements on the Suriname River to the following three main locations for different reasons: Paramaribo, the capital of Surinam, for reasons of employment, and as a refuge from the civil war; French Guiana also as a refuge because of the war; and the Netherlands as an emigrant destination. The total number of speakers (in Surinam and in the diaspora) has been estimated as up to 50.000. Little detailed work has been done on internal variation in Saramaccan. Upriver (líbase) and downriver (básuse) dialects can be distinguished, as well as a separate Matawai dialect spoken on the Saramacca River. The default lect chosen for the description in APiCS is roughly the Básuse-dialect, due to the fact that the authors have first-hand experience with this variety.","Saramaccan is one of the maroon creole languages of Surinam. It is spoken by the Saramaccan and Matawai tribes. The sociolinguistic situation of Saramaccan at the present is unclear, as a significant part of the population has moved away from the original maroon settlements on the Suriname River to the following three main locations for different reasons: Paramaribo, the capital of Surinam, for reasons of employment, and as a refuge from the civil war; French Guiana also as a refuge because of the war; and the Netherlands as an emigrant destination. The total number of speakers (in Surinam and in the diaspora) has been estimated as up to 50.000. Little detailed work has been done on internal variation in Saramaccan. Upriver (<span style=""font-style: italic;"">líbase</span>) and downriver (<span style=""font-style: italic;"">básuse</span>) dialects can be distinguished, as well as a separate Matawai dialect spoken on the Saramacca River. The default lect chosen for the description in <span style=""font-style: italic;"">APiCS </span>is roughly the <span style=""font-style: italic;"">Básuse</span>-dialect, due to the fact that the authors have first-hand experience with this variety.",,1
4,,4,Nengee,"The different varieties of Nengee (Aluku, Ndyuka and Pamaka) emerged during the 18th century as the result of maroonage. Although they ultimately have their origin in the contact varieties that emerged on the plantation of Suriname, they developed into distinct varieties, having undergone separate development after their founders’ settlement in the interior of the Surinamese/French Guianese rainforst. There has always been some contact between Maroons and the coastal population through Maroon men’s commercial activities and seasonal cash labor. However, contact has gradually intensified since the 1950s with Maroons’ greater integration into Surinamese and recently also French Guianese society due to both migration and, to a much lesser extent, social change in the village setting. Today, both many Maroon men and women live in or regularly spend time in urban contexts and are in contact with members of other Maroon communities and non-Maroons. In this new context, code alternation practices involving the regional lingua franca Sranan (also Sranantongo), but also other languages such as Dutch and to a lesser extent French and English have become quite frequent in both out-group and in-group speech among younger people and new social varieties (e.g. wakaman/yunkuman tongo) have emerged besides other existing ones such as respect speech (cf. Migge 2004). In addition, non-Maroons in French Guiana have been acquiring these newly emerging multilingual practices often referred to as Takitaki locally (Cf. Migge & van den Berg 2009; Migge & Léglise 2011, 2013; Léglise & Migge 2007). The description of linguistics features in APiCS (default lect) are predominantly based on typical monolingual everyday speech that is associated with the village context (Huttar & Huttar 1994; Goury & Migge 2003; and other articles by these authors). However, where necessary reference is made to other varieties such as respect speech and contemporary speech associated with the urban context. The speech samples/texts provided are also representative of conservative village practices. Modern urban-associated practices are documented in Migge 2005a, 2005b, 2007, 2011, and in Migge & Léglise 2013.","The different varieties of Nengee (Aluku, Ndyuka and Pamaka) emerged during the 18th century as the result of maroonage. Although they ultimately have their origin in the contact varieties that emerged on the plantation of Suriname, they developed into distinct varieties, having undergone separate development after their founders’ settlement in the interior of the Surinamese/French Guianese rainforst. There has always been some contact between Maroons and the coastal population through Maroon men’s commercial activities and seasonal cash labor. However, contact has gradually intensified since the 1950s with Maroons’ greater integration into Surinamese and recently also French Guianese society due to both migration and, to a much lesser extent, social change in the village setting. Today, both many Maroon men and women live in or regularly spend time in urban contexts and are in contact with members of other Maroon communities and non-Maroons. In this new context, code alternation practices involving the regional lingua franca Sranan (also Sranantongo), but also other languages such as Dutch and to a lesser extent French and English have become quite frequent in both out-group and in-group speech among younger people and new social varieties (e.g. wakaman/yunkuman tongo) have emerged besides other existing ones such as respect speech (cf. Migge 2004). In addition, non-Maroons in French Guiana have been acquiring these newly emerging multilingual practices often referred to as <span style=""font-style: italic;"">Takitaki</span> locally (Cf. Migge &amp; van den Berg 2009; Migge &amp; Léglise 2011, 2013; Léglise &amp; Migge 2007). The description of linguistics features in <span style=""font-style: italic;"">APiCS</span> (<span style=""font-weight: bold;"">default lect</span>) are predominantly based on typical monolingual everyday speech that is associated with the village context (Huttar &amp; Huttar 1994; Goury &amp; Migge 2003; and other articles by these authors). However, where necessary reference is made to other varieties such as respect speech and contemporary speech associated with the urban context. The speech samples/texts provided are also representative of conservative village practices. Modern urban-associated practices are documented in Migge 2005a, 2005b, 2007, 2011, and in Migge &amp; Léglise 2013.",,1
5,,5,Creolese,"Creolese, also referred to in the literature as Guyanese Creole, is a widely-used vernacular language variety which co-exists with Standard Guyanese English, the sole official language of the Republic of Guyana, which is normally acquired through formal schooling. It is the native tongue of the majority of the over 700, 000 inhabitants of the Republic of Guyana, and also widely spoken by several hundred thousand other Guyanese, scattered in the diaspora communities worldwide. Contributing languages to Creolese have included English, Arawak (Lokono), Carib (Karina), Bhojpuri, Akan, Kikongo, Yoruba and Dutch. Due to an ever-present, ongoing contact with its major contributing lexifier English, the Creolese language variety has developed a high degree of variability. Linguists such as Bickerton (1975) and Rickford (1979, 1987) and other scholars have used the term “Creole continuum” to describe this language variety. This continuum includes at one end of the spectrum a basilectal or more conservative language variety and on the other end an acrolectal language variety, more closely allied to Standard English, with a mesolectal or an infinite number of varieties existing in between. In order to provide the user with a more global understanding of the variation context within which Creolese speakers generally operate, the default lect for APiCS incorporates both basilectal and mesolectal varieties of the language. Published sources for some of the examples used in the Creolese APiCS dataset include Dolphin (1996), Monar (1985), Rickford (1979, 1987), Bickerton (1975), Devonish (1974) and Persaud (1970).","Creolese, also referred to in the literature as Guyanese Creole, is a widely-used vernacular language variety which co-exists with Standard Guyanese English, the sole official language of the Republic of Guyana, which is normally acquired through formal schooling. It is the native tongue of the majority of the over 700, 000 inhabitants of the Republic of Guyana, and also widely spoken by several hundred thousand other Guyanese, scattered in the diaspora communities worldwide. Contributing languages to Creolese have included English, Arawak (Lokono), Carib (Karina), Bhojpuri, Akan, Kikongo, Yoruba and Dutch. Due to an ever-present, ongoing contact with its major contributing lexifier English, the Creolese language variety has developed a high degree of variability. Linguists such as Bickerton (1975) and Rickford (1979, 1987) and other scholars have used the term “Creole continuum” to describe this language variety. This continuum includes at one end of the spectrum a <span style=""font-style: italic;"">basilectal</span> or more conservative language variety and on the other end an <span style=""font-style: italic;"">acrolectal </span>language<span style=""font-style: italic;""> </span>variety, more closely allied to Standard English, with a <span style=""font-style: italic;"">mesolectal </span>or an infinite number of varieties existing in between. In order to provide the user with a more global understanding of the variation context within which Creolese speakers generally operate, the default lect for <span style=""font-style: italic;"">APiCS </span>incorporates both <span style=""font-style: italic;"">basilectal </span>and <span style=""font-style: italic;"">mesolectal </span>varieties of the language. Published sources for some of the examples used in the Creolese <span style=""font-style: italic;"">APiCS</span> dataset include Dolphin (1996), Monar (1985), Rickford (1979, 1987), Bickerton (1975), Devonish (1974) and Persaud (1970).",,1
6,,6,Trinidad English Creole,"Trinidad English Creole is used by approximately 1,000,000 of the Republic of Trinidad and Tobago’s ca. 1,300,000 inhabitants (2011) as well as by members of diaspora communities in Britain, Canada, and the United States. It is the de facto language of national identity in Trinidad and is used in functional distribution with the official language English. Trinidad English Creole serves as means of informal communication across all ethnic and socio-economic groups. Its functional domain restrictions have decreased in the last decades: in 1975, the Trinidad and Tobago Ministry of Education recognized Trinidad English Creole as a legitimate vehicle for oral and written expression in schools and educators were encouraged to use teaching strategies based on the differences between Trinidad English Creole and standard English.  Trinidad English Creole use can also be found increasingly in the media (radio, television). Some formerly stigmatized features of Trinidad English Creole have now become accepted acrolectal use. There is no basilectal variety of Trinidad English Creole. The most conservative speakers can be found in the rural Indo-Trinidadian population. The mesolectal/acrolectal variety is the default lect documented in APiCS. Constructed examples were taken from the following sources: a) several UWI students (male and female) in their early twenties, b) a female middle-aged native speaker of Trinidad English Creole. Written examples were taken from either literary sources or from a Web-corpus of Trinidad English Creole.","Trinidad English Creole is used by approximately 1,000,000 of the Republic of Trinidad and Tobago’s ca. 1,300,000 inhabitants (2011) as well as by members of diaspora communities in Britain, Canada, and the United States. It is the de facto language of national identity in Trinidad and is used in functional distribution with the official language English. Trinidad English Creole serves as means of informal communication across all ethnic and socio-economic groups. Its functional domain restrictions have decreased in the last decades: in 1975, the Trinidad and Tobago Ministry of Education recognized Trinidad English Creole as a legitimate vehicle for oral and written expression in schools and educators were encouraged to use teaching strategies based on the differences between Trinidad English Creole and standard English.  Trinidad English Creole use can also be found increasingly in the media (radio, television). Some formerly stigmatized features of Trinidad English Creole have now become accepted acrolectal use. There is no basilectal variety of Trinidad English Creole. The most conservative speakers can be found in the rural Indo-Trinidadian population. The mesolectal/acrolectal variety is the default lect documented in <span style=""font-style: italic;"">APiCS</span>. Constructed examples were taken from the following sources: a) several UWI students (male and female) in their early twenties, b) a female middle-aged native speaker of Trinidad English Creole. Written examples were taken from either literary sources or from a Web-corpus of Trinidad English Creole.",,1
7,,7,Vincentian Creole,"The creole variety spoken on St. Vincent and the Grenadines is English-based. It has neither official nor national status in these territories but is diffused nationwide. The APiCS documents one mesolectal attestation for Vincentian in the feature “Raining constructions”, but the default lect featured in APiCS is the basilectal variety of Vincentian Creole. This variety can be heard in urban and rural communities on mainland St. Vincent as well as on the Grenadines. No language survey has been conducted nationwide nor in the diaspora communities in North America, Britain and other Caribbean territories to indicate what percentage of the Vincentian population uses this lect. What can be ascertained, however, is that the basilectal varieties are also given airplay during interactive radio-shows, radio-diffused or televised drama festivals and carnival song competitions. Although the variety is mainly oral, there have been attempts at representing this lect in writing, particularly in folk poetry.","The creole variety spoken on St. Vincent and the Grenadines is English-based. It has neither official nor national status in these territories but is diffused nationwide. The <span style=""font-style: italic;"">APiCS </span>documents one <span style=""font-weight: bold;"">mesolectal</span> attestation for Vincentian in the feature “Raining constructions”, but the <span style=""font-weight: bold;"">default lect</span> featured in <span style=""font-style: italic;"">APiCS </span>is the basilectal variety of Vincentian Creole. This variety can be heard in urban and rural communities on mainland St. Vincent as well as on the Grenadines. No language survey has been conducted nationwide nor in the diaspora communities in North America, Britain and other Caribbean territories to indicate what percentage of the Vincentian population uses this lect. What can be ascertained, however, is that the basilectal varieties are also given airplay during interactive radio-shows, radio-diffused or televised drama festivals and carnival song competitions. Although the variety is mainly oral, there have been attempts at representing this lect in writing, particularly in folk poetry.",,1
8,,8,Jamaican,"Jamaican (Creole), also called (Jamaican) Patwa is spoken by the majority of Jamaica's 2.7 million inhabitants, in addition to hundreds of thousands of Jamaicans or people of Jamaican descent in diaspora communities, especially in Canada, the United Kingdom, and the United States of America. Although the language has had a long history of writing, writing was mainly done in the past by professional writers, especially in the field of literature. The internet and social media have drastically increased the number of ordinary persons who are now writing Jamaican. There is an official writing system (Cassidy-JLU orthography) for the language, but it is mostly used by linguists and a few other language enthusiasts. The ordinary folk continue to use an English etymological style to represent the language in writing. There is some local programming on radio and television in Jamaican and many advertisements across various media make extensive use of Jamaican. The language has several descriptions of its syntax and phonology (e.g. Bailey 1966, Akers (1981), Patrick 2007, Durrleman-Tame 2008), a dictionary (Cassidy & Le Page 1967/1980) and a recent translation of the New Testament done by the Bible Society of the West Indies (2012). 

The default lect documented in APiCS Online is commonly referred to as basilectal Jamaican. Basilectal Jamaican is characterized by the categorical use of preverbal markers to express tense, mood, and aspect. Since most of the examples reflect my (Joseph T. Farquharson) native speaker competence, they represent a western dialect of Jamaican that is not often referenced in the linguistics literature. The distinguishing features of this variety is the use of wehn as anterior marker where eastern varieties use en, or min (highly restricted), and the use of de as progressive aspect marker where  non-western dialects use a. It is assumed that most of the features of the western basilectal variety of Jamaican captured in APiCS Online are the same as or very close to basilectal varieties islandwide. Mesolectal Jamaican, the only other lect identified in the APiCS database is characterized by the use of preverbal did as anterior marker, the suffix -in to mark progressive aspect, and the variable occurrence of the -s suffix to mark plural, sometimes along with the prototypical basilectal marker dem (e.g. di gorlz [dem] 'the girls').","Jamaican (Creole), also called (Jamaican) Patwa is spoken by the majority of Jamaica's 2.7 million inhabitants, in addition to hundreds of thousands of Jamaicans or people of Jamaican descent in diaspora communities, especially in Canada, the United Kingdom, and the United States of America. Although the language has had a long history of writing, writing was mainly done in the past by professional writers, especially in the field of literature. The internet and social media have drastically increased the number of ordinary persons who are now writing Jamaican. There is an official writing system (Cassidy-JLU orthography) for the language, but it is mostly used by linguists and a few other language enthusiasts. The ordinary folk continue to use an English etymological style to represent the language in writing. There is some local programming on radio and television in Jamaican and many advertisements across various media make extensive use of Jamaican. The language has several descriptions of its syntax and phonology (e.g. Bailey 1966, Akers (1981), Patrick 2007, Durrleman-Tame 2008), a dictionary (Cassidy &amp; Le Page 1967/1980) and a recent translation of the New Testament done by the Bible Society of the West Indies (2012). 

The default lect documented in APiCS Online is commonly referred to as basilectal Jamaican. Basilectal Jamaican is characterized by the categorical use of preverbal markers to express tense, mood, and aspect. Since most of the examples reflect my (Joseph T. Farquharson) native speaker competence, they represent a western dialect of Jamaican that is not often referenced in the linguistics literature. The distinguishing features of this variety is the use of wehn as anterior marker where eastern varieties use en, or min (highly restricted), and the use of de as progressive aspect marker where  non-western dialects use a. It is assumed that most of the features of the western basilectal variety of Jamaican captured in APiCS Online are the same as or very close to basilectal varieties islandwide. Mesolectal Jamaican, the only other lect identified in the APiCS database is characterized by the use of preverbal did as anterior marker, the suffix -in to mark progressive aspect, and the variable occurrence of the -s suffix to mark plural, sometimes along with the prototypical basilectal marker dem (e.g. di gorlz [dem] 'the girls').",,1
9,,9,Belizean Creole,"Belizean Creole (English-based) is used natively by members of the ethnic Creole group and fluently as a lingua franca (as well as sometimes natively) by most of the remaining ethnically diverse population of Belize (including Garinagu, Mestizo and Maya/Kekchi people).  It is also likely to be spoken by at least some of the older emigrants of the Belizean diaspora in the United States, albeit only in intragroup contexts. The data represented in APiCS (default lect) were all produced in the majority Creole districts of Belize by native speakers in spontaneous contexts, but there was no attempt at documenting the creole varieties used by the diaspora.  Practically all speakers of Belizean Creole shift constantly and seamlessly into mesolects and acrolects across the language spectrum, as determined by elements of the social context (speaker status, style, setting, sex of speaker or audience, etc.), and it is sometimes difficult to determine whether a given feature is basilectal or other. I have sometimes assumed in APiCS discussions of specific features that mesolectal and even acrolectal features have in fact been integrated into the basilect, a normal process of language change which can be readily observed in many language situations representative of the creole continuum.","Belizean Creole (English-based) is used natively by members of the ethnic Creole group and fluently as a lingua franca (as well as sometimes natively) by most of the remaining ethnically diverse population of Belize (including Garinagu, Mestizo and Maya/Kekchi people).  It is also likely to be spoken by at least some of the older emigrants of the Belizean diaspora in the United States, albeit only in intragroup contexts. The data represented in <span style=""font-style: italic;"">APiCS </span>(default lect) were all produced in the majority Creole districts of Belize by native speakers in spontaneous contexts, but there was no attempt at documenting the creole varieties used by the diaspora.  Practically all speakers of Belizean Creole shift constantly and seamlessly into mesolects and acrolects across the language spectrum, as determined by elements of the social context (speaker status, style, setting, sex of speaker or audience, etc.), and it is sometimes difficult to determine whether a given feature is basilectal or other. I have sometimes assumed in <span style=""font-style: italic;"">APiCS </span>discussions of specific features that mesolectal and even acrolectal features have in fact been integrated into the basilect, a normal process of language change which can be readily observed in many language situations representative of the creole continuum.",,1
