pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source,version
1,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-156,,,36,157,36,,1
2,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-159,,,36,160,36,,1
3,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-158,,,36,159,36,,1
4,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-143,,,36,144,36,,1
5,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-144,,,36,145,36,,1
6,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-145,,,36,146,36,,1
7,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-146,,,36,147,36,,1
8,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-148,,,36,149,36,,1
9,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-163,,,36,164,36,,1
10,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-153,,,36,154,36,,1
11,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-155,,,36,156,36,,1
12,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-168,,,36,169,36,,1
13,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-169,,,36,170,36,,1
14,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-172,,,36,173,36,,1
15,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-137,,,36,138,36,,1
16,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-161,,,36,162,36,,1
17,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-171,,,36,172,36,,1
18,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-187,,,36,188,36,,1
19,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-188,,,36,189,36,,1
20,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",36-195,,,36,196,36,,1
21,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",36-196,,,36,197,36,,1
22,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-199,,,36,200,36,,1
23,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-201,,,36,202,36,,1
24,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-202,,,36,203,36,,1
25,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-205,,,36,206,36,,1
26,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-180,,,36,181,36,,1
27,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-217,,,36,218,36,,1
28,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-261,,,36,262,36,,1
29,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-263,,,36,264,36,,1
30,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-255,,,36,256,36,,1
31,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-267,,,36,268,36,,1
32,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-268,,,36,269,36,,1
33,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-272,,,36,273,36,,1
34,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-273,,,36,274,36,,1
35,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-151,,,36,152,36,,1
36,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-152,,,36,153,36,,1
37,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-173,,,36,174,36,,1
38,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-174,,,36,175,36,,1
39,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-160,,,36,161,36,,1
40,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-138,,,36,139,36,,1
41,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-170,,,36,171,36,,1
42,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",36-191,/θ/ is a major allophone of /s/. /s/ occurs before /i/ and /θ/ before the other vowels.,/θ/ is a major allophone of /s/. /s/ occurs before /i/ and /θ/ before the other vowels.,36,192,36,,1
43,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-200,,,36,201,36,,1
44,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-212,,,36,213,36,,1
45,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-274,,,36,275,36,,1
46,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-284,,,36,285,36,,1
47,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-275,,,36,276,36,,1
48,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-276,,,36,277,36,,1
49,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-277,,,36,278,36,,1
50,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-278,,,36,279,36,,1
51,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-279,,,36,280,36,,1
52,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-280,,,36,281,36,,1
53,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-281,,,36,282,36,,1
54,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",36-282,,,36,283,36,,1
55,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-131,,,12,132,12,,1
56,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-147,,,12,148,12,,1
57,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",12-156,,,12,157,12,,1
58,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-132,,,12,133,12,,1
59,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-133,,,12,134,12,,1
60,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",12-158,,,12,159,12,,1
61,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-134,,,12,135,12,,1
62,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",12-163,,,12,164,12,,1
63,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-149,,,12,150,12,,1
64,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-139,,,12,140,12,,1
65,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-140,,,12,141,12,,1
66,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-189,,,12,190,12,,1
67,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-190,"In words like vine, speakers may substitute the voiced labio-dental fricative by the voiced labio-velar approximant and vice versa; thus, minimal pairs like vine - wine may become homophonous.","In words like <span style=""font-style: italic;"">vine</span>, speakers may substitute the voiced labio-dental fricative by the voiced labio-velar approximant and vice versa; thus, minimal pairs like <span style=""font-style: italic;"">vine</span> - <span style=""font-style: italic;"">wine</span> may become homophonous.",12,191,12,,1
68,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",12-192,[ð] exists only among acrolectal speakers.,[ð] exists only among acrolectal speakers.,12,193,12,,1
69,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-193,,,12,194,12,,1
70,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-194,,,12,195,12,,1
71,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-195,,,12,196,12,,1
72,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-196,,,12,197,12,,1
116,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-176,,,9,177,9,,1
73,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-205,"The voiceless glottal fricative may be deleted syllable-initially, as in harm > arm. It may also be inserted, however, as in itch > hitch.","The voiceless glottal fricative may be deleted syllable-initially, as in <span style=""font-style: italic;"">harm</span> &gt; <span style=""font-style: italic;"">arm</span>. It may also be inserted, however, as in <span style=""font-style: italic;"">itch</span> &gt; <span style=""font-style: italic;"">hitch</span>.",12,206,12,,1
74,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-178,,,12,179,12,,1
75,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-179,,,12,180,12,,1
76,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-182,,,12,183,12,,1
77,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-209,,,12,210,12,,1
78,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-218,,,12,219,12,,1
79,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-221,,,12,222,12,,1
80,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-263,,,12,264,12,,1
81,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-286,,,12,287,12,,1
82,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-254,,,12,255,12,,1
83,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-255,"In words like rap, trap, etc. there is variation between the raised low front unrounded vowel and the low central unrounded vowel.","In words like <span style=""font-style: italic;"">rap</span>, <span style=""font-style: italic;"">trap</span>, etc. there is variation between the raised low front unrounded vowel and the low central unrounded vowel.",12,256,12,,1
84,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-268,,,12,269,12,,1
85,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-256,,,12,257,12,,1
86,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-273,,,12,274,12,,1
87,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-259,The use of the lower mid back rounded vowel in words like pump is typical of Bahamian Creole.,"The use of the lower mid back rounded vowel in words like <span style=""font-style: italic;"">pump</span> is typical of Bahamian Creole.",12,260,12,,1
88,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-260,,,12,261,12,,1
89,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",12-191,[θ] exists only among acrolectal speakers.,[θ] exists only among acrolectal speakers.,12,192,12,,1
90,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-274,,,12,275,12,,1
91,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-278,,,12,279,12,,1
92,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-279,,,12,280,12,,1
93,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-281,,,12,282,12,,1
94,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-185,,,12,186,12,,1
146,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-285,,,9,286,9,,1
147,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-261,,,9,262,9,,1
95,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",12-269,"This vowel exists among more acrolectal speakers; more basilectal ones typically employ a diphthong (Bahamian Creole is non-rhotic) consisting of the schwa and the lowered high front unrounded vowel. A stereotype of Bahamian speech is the realization of earl as oil, for example.","This vowel exists among more acrolectal speakers; more basilectal ones typically employ a diphthong (Bahamian Creole is non-rhotic) consisting of the schwa and the lowered high front unrounded vowel. A stereotype of Bahamian speech is the realization of <span style=""font-style: italic;"">earl</span> as <span style=""font-style: italic;"">oil</span>, for example.",12,270,12,,1
96,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-131,,,9,132,9,,1
97,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-147,,,9,148,9,,1
98,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-156,,,9,157,9,,1
99,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-132,,,9,133,9,,1
100,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-159,,,9,160,9,,1
101,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-133,,,9,134,9,,1
102,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-158,,,9,159,9,,1
103,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-134,,,9,135,9,,1
104,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-143,,,9,144,9,,1
105,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-144,,,9,145,9,,1
106,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-145,,,9,146,9,,1
107,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-146,,,9,147,9,,1
108,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-148,,,9,149,9,,1
109,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-163,,,9,164,9,,1
110,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-149,,,9,150,9,,1
111,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-153,,,9,154,9,,1
112,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-155,,,9,156,9,,1
113,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-168,,,9,169,9,,1
114,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-169,,,9,170,9,,1
115,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-172,,,9,173,9,,1
117,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-137,,,9,138,9,,1
118,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-139,,,9,140,9,,1
119,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-161,,,9,162,9,,1
120,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-140,,,9,141,9,,1
121,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-171,,,9,172,9,,1
122,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-187,,,9,188,9,,1
123,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-188,,,9,189,9,,1
124,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-189,,,9,190,9,,1
125,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-190,,,9,191,9,,1
126,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-192,/ð/ occurs in acrolects and occasionally in mesolects.,/ð/ occurs in acrolects and occasionally in mesolects.,9,193,9,,1
127,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-193,,,9,194,9,,1
128,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-195,,,9,196,9,,1
129,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-196,,,9,197,9,,1
130,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-199,,,9,200,9,,1
131,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-201,,,9,202,9,,1
132,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-202,,,9,203,9,,1
133,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-205,,,9,206,9,,1
134,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-178,,,9,179,9,,1
135,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-179,,,9,180,9,,1
