pk,jsondata,id,name,description,markup_description
1,,1,Early Sranan,Volume 1: English-based and Dutch-based Languages,
2,,2,Sranan,Volume 1: English-based and Dutch-based Languages,
3,,3,Saramaccan,Volume 1: English-based and Dutch-based Languages,
4,,4,Nengee,Volume 1: English-based and Dutch-based Languages,
5,,5,Creolese,Volume 1: English-based and Dutch-based Languages,
6,,6,Trinidad English Creole,Volume 1: English-based and Dutch-based Languages,
7,,7,Vincentian Creole,Volume 1: English-based and Dutch-based Languages,
8,,8,Jamaican,Volume 1: English-based and Dutch-based Languages,
9,,9,Belizean Creole,Volume 1: English-based and Dutch-based Languages,
10,,10,San Andres Creole English,Volume 1: English-based and Dutch-based Languages,
11,,11,Nicaraguan Creole English,Volume 1: English-based and Dutch-based Languages,
12,,12,Bahamian Creole,Volume 1: English-based and Dutch-based Languages,
13,,13,Gullah,Volume 1: English-based and Dutch-based Languages,
14,,14,African American English,Volume 1: English-based and Dutch-based Languages,
15,,15,Krio,Volume 1: English-based and Dutch-based Languages,
16,,16,Ghanaian Pidgin English,Volume 1: English-based and Dutch-based Languages,
17,,17,Nigerian Pidgin,Volume 1: English-based and Dutch-based Languages,
18,,18,Cameroon Pidgin English,Volume 1: English-based and Dutch-based Languages,
19,,19,Pichi,Volume 1: English-based and Dutch-based Languages,
20,,20,Chinese Pidgin English,Volume 1: English-based and Dutch-based Languages,
22,,22,Tok Pisin,Volume 1: English-based and Dutch-based Languages,
23,,23,Bislama,Volume 1: English-based and Dutch-based Languages,
24,,24,Norf’k,Volume 1: English-based and Dutch-based Languages,
25,,25,Kriol,Volume 1: English-based and Dutch-based Languages,
26,,26,Hawai‘i Creole,Volume 1: English-based and Dutch-based Languages,
27,,27,Negerhollands,Volume 1: English-based and Dutch-based Languages,
28,,28,Berbice Dutch,Volume 1: English-based and Dutch-based Languages,
29,,29,Afrikaans,Volume 1: English-based and Dutch-based Languages,
30,,30,Cape Verdean Creole of Santiago,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
31,,31,Cape Verdean Creole of Brava,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
32,,32,Cape Verdean Creole of São Vicente,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
33,,33,Guinea-Bissau Kriyol,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
34,,34,Casamancese Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
35,,35,Santome,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
36,,36,Angolar,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
37,,37,Principense,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
38,,38,Fa d’Ambô,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
39,,39,Diu Indo-Portuguese,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
40,,40,Korlai,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
41,,41,Sri Lanka Portuguese,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
